strategy,symbol,family,newly_added,trades,net_pnl,expectancy_trade,expectancy_session,stressed_expectancy_trade,profit_factor,win_rate,max_dd,dd_over_mll,sharpe,sortino,t_stat,consec_losing_days,median_hold_min,trades_per_session,time_in_market,mc_prob_dd_exceeds_mll,best_twin_pass,dll_breach_rate,verdict
breakout.opening_range.q95,MES,breakout,False,496,-2877.6200000000003,-5.801653225806453,-11.556706827309238,-7.051653225806452,0.6085589721615755,0.0826612903225806,-3500.1599999999994,1.7500799999999996,-1.930460668297393,-2.3188354314165265,-1.91893542697317,4,3.0,1.991967871485944,0.108259123450323,,,,REJECT
breakout.range_expansion.q80,MES,breakout,False,2372,-6823.840000000002,-2.8768296795952777,-27.404979919678723,-4.126829679595279,0.7188232162532561,0.3516020236087689,-6795.480000000001,3.3977400000000006,-3.950678755395303,-5.7458794995443645,-3.927092402770688,13,3.0,9.526104417670682,0.1352725479924814,,,,REJECT
breakout.range_expansion.q90,MES,breakout,False,1174,-2653.5299999999997,-2.2602470187393515,-10.656746987951804,-3.5102470187393524,0.7900105171610153,0.3679727427597956,-2655.5600000000004,1.3277800000000002,-2.1134319024309094,-2.903635121530298,-2.1008142857667425,10,3.0,4.714859437751004,0.0669789130948345,,,,REJECT
breakout.failed_reversal,MES,breakout,False,449,-1081.5299999999995,-2.4087527839643643,-4.3434939759036135,-3.658752783964364,0.5361843374889037,0.3919821826280623,-1081.5300000000002,0.540765,-4.334527020221769,-3.636238943594192,-4.308649015683878,3,1.0,1.8032128514056225,0.0046117975739274,,,,REJECT
breakout.compression_expansion,MES,breakout,False,3356,-8454.319999999998,-2.519165673420738,-33.9530923694779,-3.769165673420738,0.6740221613355717,0.2824791418355185,-8388.339999999998,4.194169999999999,-5.930475922318543,-8.572435512509497,-5.895069779476743,9,3.0,13.477911646586346,0.2148029457985394,,,,REJECT
revert.z_60.q90,MES,reversion,False,4164,-8496.33,-2.040425072046109,-34.121807228915664,-3.290425072046109,0.690723822295413,0.6030259365994236,-8588.430000000004,4.294215000000002,-5.870276696313551,-7.225383346196871,-5.835229955048086,14,2.0,16.72289156626506,0.1717458067564375,,,,REJECT
revert.z_60.q95,MES,reversion,False,2612,-5135.389999999998,-1.966075803981622,-20.62405622489959,-3.216075803981622,0.6847376737801473,0.5758039816232772,-5192.129999999991,2.5960649999999954,-4.845241099407838,-5.568326445474377,-4.816314028340408,11,2.0,10.48995983935743,0.0843065356053369,,,,REJECT
revert.vwap.q90,MES,reversion,False,1282,-1495.290000000001,-1.1663728549141965,-6.005180722891571,-2.4163728549141967,0.8900735445472352,0.7761310452418096,-2061.7400000000025,1.0308700000000013,-0.7487455081543334,-0.5248722061208874,-0.7442753457658307,5,3.0,5.14859437751004,0.1873581281648332,,,,REJECT
revert.vwap.q95,MES,reversion,False,648,-556.8100000000015,-0.8592746913580253,-2.2361847389558296,-2.109274691358025,0.9268589037964908,0.7592592592592593,-1391.8500000000006,0.6959250000000003,-0.3419317117474419,-0.1847062411280633,-0.3398903101488433,4,3.0,2.602409638554217,0.0893497262708121,,,,REJECT
revert.z_calm_only,MES,reversion,False,1381,-3416.069999999999,-2.4736205648081087,-13.71915662650602,-3.7236205648081087,0.5918312969127499,0.559739319333816,-3403.800000000002,1.701900000000001,-5.544172243982126,-6.466709574673107,-5.511072412369753,9,2.0,5.546184738955823,0.0382193736583161,,,,REJECT
session.late_day_continuation,MES,session,False,2297,-6742.339999999998,-2.93528080104484,-27.07767068273092,-4.185280801044841,0.6966002673850934,0.2581628210709621,-6752.139999999997,3.376069999999998,-4.570473214385887,-6.82170529884842,-4.543186563263307,10,3.0,9.224899598393574,0.2259678098583592,,,,REJECT
